Match ID,Team,Player,Roblox ID,Card,Reason,Notes
EL1-GW1-02,Milton,e_eqd,31706646,Red,,
EL1-GW3-01,Newport,telletti,,Yellow,,⚠️ No Roblox ID
EL1-GW3-01,Newport,tr_ito,594588203,Yellow,,
EL1-GW3-01,Viola,harshflux,1107538966,Yellow,,
EL1-GW3-01,Viola,b4adumata,94854873,Yellow,,
EL1-GW3-02,Newham,Jawad690,,Yellow,,⚠️ No Roblox ID
EL1-GW3-02,Eltham,CapV7,60642460,Yellow,,
EL1-GW2-04,Viola,Iuizdias,1204609210,Yellow,,
EL1-GW2-04,Nottingham,lewanvoltski,88422760,Yellow,,
EL1-GW3-03,Andover,ahttuso,596543819,Yellow,,
EL1-GW4-01,Newport,rxckfrost,180053970,Red,,
EL1-GW4-02,Milton,sc_16x,200344976,Yellow,,
EL1-GW4-03,Viola,VoidLDN,1041962471,Red,,
EL1-GW5-01,Newport,MajinCrew,1056227705,Yellow,,
EL1-GW5-01,Newport,tr_ito,594588203,Yellow,,
EL1-GW5-01,Newport,HitboxExpandrr,1098693605,Yellow,,
EL1-GW5-02,Viola,Iuizdias,1204609210,Yellow,,
EL1-GW5-02,Milton,RememberPastGlory,46117833,Yellow,,
EL1-GW5-03,Stafford,deuIofeuz,16898061,Red,,
EL1-GW5-03,Stafford,cavocic,4409906576,Yellow,,
EL1-GW5-04,Newham,paxbizzle,61178069,Red,,
EL1-GW5-04,Newham,Jack924833,1156742,Yellow,,
EL1-GW6-01,Andover,rykiraa,104144813,Yellow,Excessive use of :M to pressure refs,
EL1-GW6-02,Nottingham,CapV7,60642460,Yellow,Time wasting,
EL1-GW6-02,Nottingham,A_etherius,104835988,Yellow,Foul play,
EL1-GW6-02,Nottingham,Oli2Cxrtii,37156558,Yellow,Sliding referee,
EL1-GW6-02,Nottingham,8ackyy,1025293008,Yellow,Foul play,
EL1-GW6-02,Eltham,harmoush,140245581,Yellow,Foul play,
EL1-GW6-03,Viola,V3d_Dev,429786813,Yellow,,
EL1-GW6-03,Viola,Iuizdias,1204609210,Yellow,,
EL1-GW6-03,Newham,VegSPlayz,3137843516,Yellow,,
EL1-GW6-03,Newham,bovchenko,2938101088,Red,,
EP1-QF-01,Viola,bally,,Red,,⚠️ No Roblox ID
EP1-QF-01,Viola,al,,Red,,⚠️ Cannot find user per original post
EL1-GW7-03,Eltham,harmoush,140245581,Yellow,,
EL2-GW1-01,Cartiginia,MangoFresc0,,Yellow,,⚠️ No Roblox ID
EL2-GW1-02,Newham,EdinDzeko1983,4935434467,Yellow,,
EL2-GW1-03,—,zneataj,,Red,,⚠️ No Roblox ID - team unclear
EL2-GW2-02,Nottingham,Gvidiasas,1035230155,Yellow,,
EL2-GW3-03,Eltham,Teskid10,588273151,Yellow,,
EL2-GW3-04,Milton,Koolicxcte,369770640,Yellow,,
SI2-GW5-01,Casole,kvaradona_34,8801995315,Yellow,,
