Match ID,Season,Competition,Home,Away,Score,Event Type,Team,Player,Roblox ID,Count,Notes
EL1-GW1-01,S1,EuroLeague,Newport,Nottingham,3-5,Goal,Newport,MajinCrew,1056227705,1,
EL1-GW1-01,S1,EuroLeague,Newport,Nottingham,3-5,Goal,Newport,youna1234,106217053,1,
EL1-GW1-01,S1,EuroLeague,Newport,Nottingham,3-5,Goal,Newport,tr_ito,594588203,1,
EL1-GW1-01,S1,EuroLeague,Newport,Nottingham,3-5,Goal,Nottingham,Oli2Cxrtii,37156558,2,
EL1-GW1-01,S1,EuroLeague,Newport,Nottingham,3-5,Goal,Nottingham,A_etherius,104835988,3,Hat-trick
EL1-GW1-01,S1,EuroLeague,Newport,Nottingham,3-5,Assist,Newport,CapV7,60642460,1,
EL1-GW1-01,S1,EuroLeague,Newport,Nottingham,3-5,Assist,Nottingham,Oli2Cxrtii,37156558,2,
EL1-GW1-01,S1,EuroLeague,Newport,Nottingham,3-5,Assist,Nottingham,8ackyy,1025293008,1,
EL1-GW1-01,S1,EuroLeague,Newport,Nottingham,3-5,MOTM,Nottingham,Oli2Cxrtii,37156558,1,
EL1-GW1-02,S1,EuroLeague,Milton,Newham,1-6,Goal,Milton,RememberPastGlory,46117833,1,
EL1-GW1-02,S1,EuroLeague,Milton,Newham,1-6,Goal,Newham,yuchiiha,821613944,3,Hat-trick
EL1-GW1-02,S1,EuroLeague,Milton,Newham,1-6,Goal,Newham,Evaiuated,208862354,3,Hat-trick
EL1-GW1-02,S1,EuroLeague,Milton,Newham,1-6,Assist,Milton,saIihamidzic,78717354,1,
EL1-GW1-02,S1,EuroLeague,Milton,Newham,1-6,Assist,Newham,tomiezi,124984116,1,
EL1-GW1-02,S1,EuroLeague,Milton,Newham,1-6,Assist,Newham,drosedude,4901,1,
EL1-GW1-02,S1,EuroLeague,Milton,Newham,1-6,Assist,Newham,Evaiuated,208862354,2,
EL1-GW1-02,S1,EuroLeague,Milton,Newham,1-6,Red Card,Milton,e_eqd,31706646,1,
EL1-GW1-02,S1,EuroLeague,Milton,Newham,1-6,MOTM,Newham,yuchiiha,821613944,1,
EL1-GW1-03,S1,EuroLeague,Stafford,Viola,3-2,Goal,Stafford,saskatoonie,142513851,1,
EL1-GW1-03,S1,EuroLeague,Stafford,Viola,3-2,Goal,Stafford,barbkoumpo,679815091,2,
EL1-GW1-03,S1,EuroLeague,Stafford,Viola,3-2,Goal,Viola,Iuizdias,1204609210,2,
EL1-GW1-03,S1,EuroLeague,Stafford,Viola,3-2,Assist,Stafford,deuIofeuz,16898061,3,
EL1-GW1-03,S1,EuroLeague,Stafford,Viola,3-2,Assist,Viola,frutius,33298064,1,
EL1-GW1-03,S1,EuroLeague,Stafford,Viola,3-2,MOTM,Stafford,barbkoumpo,679815091,1,
EL1-GW1-04,S1,EuroLeague,Andover,Eltham,9-1,Goal,Andover,cornzua,111729984,6,2x Hat-trick
EL1-GW1-04,S1,EuroLeague,Andover,Eltham,9-1,Goal,Andover,booskioo,25796457,2,
EL1-GW1-04,S1,EuroLeague,Andover,Eltham,9-1,Goal,Andover,rykiraa,104144813,1,
EL1-GW1-04,S1,EuroLeague,Andover,Eltham,9-1,Goal,Eltham,harmoush,140245581,1,
EL1-GW1-04,S1,EuroLeague,Andover,Eltham,9-1,Assist,Andover,rykiraa,104144813,3,
EL1-GW1-04,S1,EuroLeague,Andover,Eltham,9-1,Assist,Andover,vexzema,508865433,1,
EL1-GW1-04,S1,EuroLeague,Andover,Eltham,9-1,Assist,Andover,booskioo,25796457,1,
EL1-GW1-04,S1,EuroLeague,Andover,Eltham,9-1,Assist,Andover,wizente,,1,⚠️ No Roblox ID
EL1-GW1-04,S1,EuroLeague,Andover,Eltham,9-1,MOTM,Andover,cornzua,111729984,1,
EL1-GW2-01,S1,EuroLeague,Newport,Newham,1-3,Goal,Newport,VxthFrost,40935648,1,
EL1-GW2-01,S1,EuroLeague,Newport,Newham,1-3,Goal,Newham,Evaiuated,208862354,2,
EL1-GW2-01,S1,EuroLeague,Newport,Newham,1-3,Goal,Newham,Jawad690,,1,⚠️ No Roblox ID
EL1-GW2-01,S1,EuroLeague,Newport,Newham,1-3,Assist,Newport,CemFrost,81124023,1,
EL1-GW2-01,S1,EuroLeague,Newport,Newham,1-3,Assist,Newham,Jawad690,,1,⚠️ No Roblox ID
EL1-GW2-01,S1,EuroLeague,Newport,Newham,1-3,Assist,Newham,tomiezi,124984116,1,
EL1-GW2-01,S1,EuroLeague,Newport,Newham,1-3,MOTM,Newham,Evaiuated,208862354,1,
EL1-GW2-02,S1,EuroLeague,Eltham,Milton,2-3,Goal,Eltham,jackdinnXDD2,611608100,1,
EL1-GW2-02,S1,EuroLeague,Eltham,Milton,2-3,Goal,Eltham,Ir0nGd,,1,⚠️ No Roblox ID
EL1-GW2-02,S1,EuroLeague,Eltham,Milton,2-3,Goal,Milton,saIihamidzic,78717354,1,
EL1-GW2-02,S1,EuroLeague,Eltham,Milton,2-3,Goal,Milton,Koolicxcte,369770640,1,
EL1-GW2-02,S1,EuroLeague,Eltham,Milton,2-3,Goal,Milton,bubbli,,1,⚠️ No Roblox ID
EL1-GW2-02,S1,EuroLeague,Eltham,Milton,2-3,Assist,Eltham,Ir0nGd,,1,⚠️ No Roblox ID
EL1-GW2-02,S1,EuroLeague,Eltham,Milton,2-3,Assist,Eltham,jackdinnXDD2,611608100,1,
EL1-GW2-02,S1,EuroLeague,Eltham,Milton,2-3,Assist,Milton,bubbli,,2,⚠️ No Roblox ID
EL1-GW2-02,S1,EuroLeague,Eltham,Milton,2-3,Assist,Milton,RememberPastGlory,46117833,1,
EL1-GW2-02,S1,EuroLeague,Eltham,Milton,2-3,MOTM,Milton,saIihamidzic,78717354,1,
EL1-GW2-03,S1,EuroLeague,Andover,Stafford,10-0,Goal,Andover,ahttuso,596543819,3,Hat-trick
EL1-GW2-03,S1,EuroLeague,Andover,Stafford,10-0,Goal,Andover,cornzua,111729984,3,Hat-trick
